subjectID,Subject
130,Law
133,Limnology
134,Linguistics
135,Literary Reviews
136,Literary Theory & Criticism
137,Literature
138,"Literature, African, Australian, Canadian"
139,"Literature, American"
140,"Literature, British Isles"
141,"Literature, German, Dutch, Scandinavian"
142,"Literature, Romance"
143,"Literature, Slavic"
144,Logic
145,Management
146,Marine & Freshwater Biology
148,"Materials Science, Biomaterials"
149,"Materials Science, Ceramics"
150,"Materials Science, Characterization & Testing"
151,"Materials Science, Coatings & Films"
152,"Materials Science, Composites"
153,"Materials Science, Multidisciplinary"
154,"Materials Science, Paper & Wood"
155,"Materials Science, Textiles"
156,Mathematical & Computational Biology
158,Mathematics
159,"Mathematics, Applied"
160,"Mathematics, Interdisciplinary Applications"
161,Mechanics
162,Medical Ethics
163,Medical Informatics
164,Medical Laboratory Technology
165,"Medicine, General & Internal"
166,"Medicine, Legal"
167,"Medicine, Research & Experimental"
168,Medieval & Renaissance Studies
169,Metallurgy & Metallurgical Engineering
170,Meteorology & Atmospheric Sciences
171,Microbiology
172,Microscopy
173,Mineralogy
174,Mining & Mineral Processing
175,Multidisciplinary Sciences
176,Music
177,Mycology
178,Nanoscience & Nanotechnology
179,Neuroimaging
180,Neurosciences & Neurology
181,Nuclear Science & Technology
182,Nursing
183,Nutrition & Dietetics
184,Obstetrics & Gynecology
186,Oceanography
187,Oncology
188,Operations Research & Management Science
189,Ophthalmology
190,Optics
191,Ornithology
192,Orthopedics
193,Otorhinolaryngology
194,Paleontology
195,Parasitology
196,Pathology
197,Pediatrics
198,Peripheral Vascular Disease
199,Pharmacology & Pharmacy
200,Philosophy
201,"Physics, Applied"
202,"Physics, Atomic, Molecular & Chemical"
203,"Physics, Condensed Matter"
204,"Physics, Fluids & Plasmas"
205,"Physics, Mathematical"
206,"Physics, Multidisciplinary"
207,"Physics, Nuclear"
208,"Physics, Particles & Fields"
209,Physiology
210,Planning & Development
211,Plant Sciences
212,Poetry
213,Political Science
214,Polymer Science
215,Primary Health Care
216,Psychiatry
217,Psychology
218,"Psychology, Applied"
219,"Psychology, Biological"
220,"Psychology, Clinical"
221,"Psychology, Developmental"
222,"Psychology, Educational"
223,"Psychology, Experimental"
224,"Psychology, Mathematical"
225,"Psychology, Multidisciplinary"
226,"Psychology, Psychoanalysis"
227,"Psychology, Social"
228,Public Administration
229,"Public, Environmental & Occupational Health"
230,"Radiology, Nuclear Medicine & Medical Imaging"
231,Rehabilitation
232,Religion
233,Remote Sensing
234,Reproductive Biology
235,Respiratory System
236,Rheumatology
237,Robotics
238,Social Issues
239,"Social Sciences, Biomedical"
240,"Social Sciences, Interdisciplinary"
241,"Social Sciences, Mathematical Methods"
242,Social Work
243,Sociology
244,Soil Science
245,Spectroscopy
246,Sport Sciences
247,Statistics & Probability
248,Substance Abuse
249,Surgery
250,Telecommunications
251,Theater
252,Thermodynamics
253,Toxicology
254,Transplantation
255,Transportation
256,Transportation Science & Technology
257,Tropical Medicine
258,Urban Studies
259,Urology & Nephrology
260,Veterinary Sciences
261,Virology
262,Water Resources
263,Women's Studies
264,Zoology
